id,original,num_pronunciations,word_count,tier,media_stem,forvo_url
1259442,Доброго ранку,12,2,tier4plus,uk_1259442,https://forvo.com/word/%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D0%B3%D0%BE%20%D1%80%D0%B0%D0%BD%D0%BA%D1%83/#uk
377553,Я не розмовляю українською,12,4,tier4plus,uk_377553,https://forvo.com/word/%D0%AF%20%D0%BD%D0%B5%20%D1%80%D0%BE%D0%B7%D0%BC%D0%BE%D0%B2%D0%BB%D1%8F%D1%8E%20%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D1%8E/#uk
7149194,Як справи?,11,2,tier4plus,uk_7149194,https://forvo.com/word/%D0%AF%D0%BA%20%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%3F/#uk
7142788,Добрий вечір,10,2,tier4plus,uk_7142788,https://forvo.com/word/%D0%94%D0%BE%D0%B1%D1%80%D0%B8%D0%B9%20%D0%B2%D0%B5%D1%87%D1%96%D1%80/#uk
777679,як ся маєте?,10,3,tier4plus,uk_777679,https://forvo.com/word/%D1%8F%D0%BA%20%D1%81%D1%8F%20%D0%BC%D0%B0%D1%94%D1%82%D0%B5%3F/#uk
511763,Тарас Шевченко,9,2,tier4plus,uk_511763,https://forvo.com/word/%D0%A2%D0%B0%D1%80%D0%B0%D1%81%20%D0%A8%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE/#uk
7142785,Будь ласка,8,2,tier4plus,uk_7142785,https://forvo.com/word/%D0%91%D1%83%D0%B4%D1%8C%20%D0%BB%D0%B0%D1%81%D0%BA%D0%B0/#uk
1820987,Доброго дня,8,2,tier4plus,uk_1820987,https://forvo.com/word/%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D0%B3%D0%BE%20%D0%B4%D0%BD%D1%8F/#uk
1431199,Українські народні пісні,8,3,tier4plus,uk_1431199,https://forvo.com/word/%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D1%96%20%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%96%20%D0%BF%D1%96%D1%81%D0%BD%D1%96/#uk
1238924,площа Перемоги,8,2,tier4plus,uk_1238924,https://forvo.com/word/%D0%BF%D0%BB%D0%BE%D1%89%D0%B0%20%D0%9F%D0%B5%D1%80%D0%B5%D0%BC%D0%BE%D0%B3%D0%B8/#uk
